Time, Date, TweetText
8:44 AM,9 Dec 2019,T 3574 - The most waited event of the day .. memorable looked forward to and one filled with gratitude .. !pic.twitter.com/VOMZwkP7tc
4:31 AM,9 Dec 2019,How much sleep is the right amount?pic.twitter.com/IIZvRR7ZAu
10:07 AM,8 Dec 2019,T 3573 - Today is today .. tomorrow shall be the morrow .. for work .. idle is in mode of lethargic isolated unknown territory .. the terrain needs to be known and cultured and tutored and dealt with .. else idle is edelweiss - a European mountain plant  .. inept in meaning
7:56 PM,7 Dec 2019,T 3572 - My best wishes to Film Heritage Foundation as the 5th Film Preservation & Restoration Workshop (cont) http://tl.gd/n_1sr37gk
6:53 PM,7 Dec 2019,T 3572 -  "आवाज" ऊँची होगी तो कुछ लोग सुनेगें  किन्तु "बात" ऊँची होगी तो बहुत लोग सुनेगें  ~ Ef anj
6:49 PM,7 Dec 2019,T 3572 - ... from my Ef :  *Delete जितना fast होता है * *उतना ही fast* *Download क्यों नही होता*?  *शायद इसलिये  क्योंकि*  *"सृजन" करने को* *समय लगता है*  *"विसर्जन" में नही.*
6:20 PM,7 Dec 2019,T 3572 - My best wishes to Film Heritage Foundation as the 5th Film Preservation & Restoration Workshop (cont) http://tl.gd/n_1sr37eq
7:29 PM,6 Dec 2019,T 3571 -" Things are as they are  we suffer because we imagined different." ~  Ef  b  चीज़ें वैसी ही हैं जैसी होनी चाहिएँ   या होती हैं  ; हमें झेलना या भुगतना इस लिए पड़ता है   क्यूँकि हमने ऐसा सोच लिया था  की वो अलग हैं  ! ~ अब
10:37 AM,6 Dec 2019,Miss you  Love  Love  Love pic.twitter.com/QzRS2aG7Gf
10:26 AM,6 Dec 2019,T 3570 -  यार कितनी बार बोला मई तेरे को  ..  की Virat को मत छेड़   मत छेड़   मत छेड़  ... पन  सुनताइच किधर है  तुम ...  अभी पर्ची लिख के दे दिया ना हाथ में  !!!!   देख देख  .. WI का चेहरा देख  ; कितना मारा उसको   कितना मारा  !! ( with due respects to Anthony bhai   of AAA )pic.twitter.com/BypjyHdA86
10:16 AM,6 Dec 2019,please .. UTV   Disney or Star or Warner  .. whoever ? just give it to us we will release it .. but give it NA ..https://twitter.com/MosesSapir/status/1202890786309840896 …
10:14 AM,6 Dec 2019,यो बेबी ।। !!! badbada bumba   bumba .. badbada bumba  !!https://twitter.com/ganeshlahoti/status/1202983131843661824 …
10:01 AM,6 Dec 2019,T 3570 -  एक नमूना ; एक खिलोना  ! बूझो कौन हैं कौन   वो जो बैठा   नमूना है    खड़ा वो असली Don  !! pic.twitter.com/S31j0tn6RV
9:10 AM,4 Dec 2019,T 3569 - To the warm loving and ever smiling well wishers from Himachal Pradesh  and in particular from where we work - Manali .. thank you for all the love and generous care ! Wearing their traditional welcome ..pic.twitter.com/b3WVDXW0eB
8:04 AM,4 Dec 2019,T 3569 -  Cherishing my Retro Dancing days  with @celfiedesign. Carry your memories with you. Customize your phone cases and accessories with your beloved designs only on http://www.celfiedesign.com
6:13 AM,3 Dec 2019,Congrats #10YearsOfPaa released 4Dec09 @SrBachchan @juniorbachchan @vidya_balan #RBalki @twittdaddy25 @nileshbodawala @BeejalBhatt @GangulySunetra @EF_MahekShukla @Vibhor4tweet @EfvijayKumar @EfRakesh @Gopalbachchan @KalaYadav3 @AneetaRadoja @LilyPittz @Rekha872838 @JaniJasminepic.twitter.com/290BS522TU
